القرية:,Y,X,مصدر الطاقة:,كمية الطاقة المستخدمة خلال موسم الذروة :,يدويا%:,ديزل%:,شبكة%:,بنزين%:,شمسية%:,Diesel L/Week (Avg):,Benzine L/Week (Avg):,kW/Week (Avg):
  عين وزين,33.67571,35.623642,الشبكة,1 كيلوواط/ساعة كهرباء في الأسبوع,0,0,100,0,0,0,0,1
 الباروك,33.700328,35.670304,مولد ديزل,ليتر ديزل في الأسبوع,44.44,33.33,11.11,0,11.11,43.67,0,0
 البيرة,33.72637,35.646694,يدوياً,يدوياً,100,0,0,0,0,0,0,0
 الجاهلية,33.669172,35.510909,يدوياً,يدوياً,100,0,0,0,0,0,0,0
 الدامور,33.7068341,35.4428424,خط كهربا من الجيران,ساعات طاقة شمسية (إن وجدت),14.29,42.86,28.57,0,57.14,1,0,8
 الدبية,33.670542,35.482801,الكهرباء من الشبكة يدوياً,كيلوواط/ساعة كهرباء في الأسبوع,100,0,100,0,0,0,0,0
 الدبيه,33.670542,35.482801,مولد ديزل الكهرباء من الشبكة يدوياً,كيلوواط/ساعة كهرباء في الأسبوع,100,100,100,0,0,0,0,0
 السعديات,33.691676,35.425372,الطاقة الشمسية,ساعات طاقة شمسية (إن وجدت),0,0,0,0,100,0,0,0
 السمقانية,33.681278,35.589248,مولد ديزل الكهرباء من الشبكة,,0,100,100,0,0,0,0,0
 الكحلونيه,33.646894,35.587988,يدوياً,ليتر ديزل في الأسبوع,75,0,25,0,0,1,10,0
 المختارة,33.658863,35.612749,يدوياً,ساعات طاقة شمسية (إن وجدت),100,0,0,0,0,0,0,0
 المشرف,33.704418,35.463768,مولد ديزل يدوياً,ليتر ديزل في الأسبوع,100,50,0,0,0,1,0,0
 المطلة,33.609922,35.540722,الطاقة الشمسية,ساعات طاقة شمسية (إن وجدت),0,0,0,0,100,0,0,0
 المغيزيه,33.605784,35.462913,الكهرباء من الشبكة,كيلوواط/ساعة كهرباء في الأسبوع,0,0,100,0,0,0,0,0
 الورهانية,33.717271,35.669055,يدوياً,,71.43,0,28.57,0,0,1,0,20
 باتر,33.599393,35.614008,مولد ديزل يدوياً,5 ليتر بنزين,66.67,33.33,0,0,0,5,0,0
 بتلون,33.62999,35.652848,لا أحتاج للكهرباء,0,30.77,15.38,23.08,0,0,34.5,0,0
 برجا,33.64174,35.423496,الطاقة الشمسية,ساعات طاقة شمسية (إن وجدت),0,25,0,0,75,1,0,0
 بريح,33.712167,35.653917,يدوياً,يدويا على الجاذبية,100,0,0,0,0,0,0,0
 بشتفين,33.711314,35.554213,يدوياً,يدوي,100,0,0,0,0,0,0,0
 بطمة,33.659884,35.623642,يدوياً,ليتر ديزل في الأسبوع,66.67,33.33,33.33,0,0,1,0,0
 بطمه,33.659884,35.623642,الطاقة الشمسية,ساعات طاقة شمسية (إن وجدت),0,0,0,0,100,0,0,0
 بعذران,33.635071,35.619518,يدوياً,,100,0,0,0,0,0,0,0
 بعقلين,33.674355,35.550524,يدوياً,,25,25,0,0,0,20,0,0
 بكيفا,33.587886,35.493755,مولد ديزل,ليتر ديزل في الأسبوع,0,100,0,0,0,1,0,0
 جديدة الشوف,33.660837,35.604515,الكهرباء من الشبكة,كيلوواط/ساعة كهرباء في الأسبوع,0,0,100,0,0,0,0,0
 حارة جندل الشوف,33.613917,35.609278,يدوياً,جر,100,0,0,0,0,0,0,0
 خربة بسري,33.580986,35.510269,يدوياً,ساعات طاقة شمسية (إن وجدت),100,0,0,0,0,0,0,0
 خريبة الشوف,33.63275,35.654194,مولد ديزل يدوياً,ليتر ديزل في الأسبوع,100,50,0,0,0,1,0,0
 داريا الشوف,33.643525,35.511788,مولد ديزل الكهرباء من الشبكة يدوياً,ليتر ديزل في الأسبوع,25,25,100,0,0,1,0,0
 دميت الشوف,33.693695,35.505803,مولد ديزل يدوياً,ليتر ديزل في الأسبوع,66.67,33.33,33.33,0,0,1,0,0
 دير القمر,33.695419,35.555945,يدوياً,ليتر ديزل في الأسبوع,33.33,33.33,33.33,0,33.33,1,0,0
 دير دوريت,33.683941,35.531821,يدوياً,يدويا عبر القناة,50,25,25,0,0,1,0,0
 ديربابا,33.69578,35.524916,يدوياً,ليتر ديزل في الأسبوع,50,50,0,0,0,1,0,0
 شارون,33.802187,35.703264,مولد ديزل,40 ليتر ديزل في الاسبوع,0,100,0,0,0,40,0,0
 شحيم,33.620505,35.481918,,,50,25,0,0,0,1,0,0
 شواليق دير القمر,33.698087,35.562627,مولد ديزل الكهرباء من الشبكة,كيلوواط/ساعة كهرباء في الأسبوع,0,100,100,0,0,0,0,0
 عانوت,33.621863,35.505019,الكهرباء من الشبكة يدوياً,لا اعلم,66.67,33.33,66.67,0,0,0,0,0
 عترين,33.666782,35.568355,مولد ديزل,10 لتر ديزل اسبوعيا,0,100,0,0,0,10,0,0
 علمان,33.581088,35.410028,مولد ديزل,ليتر ديزل في الأسبوع,0,54.17,37.5,0,12.5,32.55,0,10
 عماطور,33.639279,35.603833,يدوياً,ري بواسطة برك زراعية,100,0,0,0,0,1,0,0
 عين زحلتا,33.745791,35.693978,مياه جر,,50,0,0,0,0,1,0,0
 عين قاني,33.64873,35.61163,يدوياً,Transport only,100,0,0,0,0,0,0,0
 عين وزين,33.675386,35.6172,الكهرباء من الشبكة,كيلوواط/ساعة كهرباء في الأسبوع,75,0,25,0,0,1,0,0
 غريفة,33.639527,35.562358,لا يحتاج الكهرباء,,50,0,0,0,0,0,0,0
 كترمايا الشوف,33.621551,35.454315,مولد ديزل الطاقة الشمسية,ليتر ديزل في الأسبوع,0,100,0,0,100,1,0,0
 كفرحيم,33.685758,35.52594,ليس لدي اي طاقة,لاشئ,33.33,0,0,0,33.33,0,0,0
 كفرفاقود,33.698864,35.537408,يدوياً,لاشيء,33.33,0,66.67,0,0,0,0,0
 كفرنبرخ,33.695033,35.638367,يدوياً,سقي بواسطه مياه الجر,50,16.67,0,0,16.67,1,0,0
 مجدل المعوش,33.721115,35.622299,يدوياً,جاذبية,100,0,0,0,0,1,0,0
 مرستى,33.634098,35.662419,يدوياً,ليتر ديزل في الأسبوع,100,0,0,0,0,1,0,0
 مرستي,33.615696,35.647482,يدوياً,مياه البورك,55,25,20,10,5,1.22,10,0
 مزبود,33.607921,35.485018,الكهرباء من الشبكة,كيلوواط/ساعة كهرباء في الأسبوع,33.33,66.67,66.67,0,33.33,1,0,0
 مزرعة الشوف,33.62904,35.586971,يدوياً,كيلوواط/ساعة كهرباء في الأسبوع,75,12.5,0,0,12.5,10.5,0,0
 مزمورة,33.594348,35.50846,مولد ديزل الكهرباء من الشبكة يدوياً,ليتر ديزل في الأسبوع,100,100,100,0,0,1,0,0
 معاصر الشوف,33.659007,35.649514,يدوياً,10 Liter by week,66.67,33.33,0,0,0,0,0,0
 نيحا الشوف,33.484021,35.51801,يدوياً,عمل يدوي,100,0,0,0,0,0,0,0
