X,Y,القرية,حجم الزراعة,نوع التربة
36.0394,33.7528,ماسما,أقل من 5 دونم (< 5000 متر مربع),تربة طينية
36.0131,33.7889,تربل,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طينية
36.0556,33.7142,دلهامية," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طمية ( طينية ورملية)
35.9833,33.6875,الفاكهة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طينية
35.9878,33.8442,رياق," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية
35.925,33.775,علي النهري," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية
35.9344,33.8147,حارة الفيكاني," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية
35.9878,33.8442,رياق,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طينية
36.0481,33.8847,نبي شيت," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية
35.9878,33.8442,رياق,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طينية
35.8203,33.5829,مشغرة,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية
35.8203,33.5829,مشغرة," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة كلسية
35.8203,33.5829,مشغرة,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية)
35.9542,33.8253,اللبوة," أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.9018,33.8463,زحلة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طينية
35.8203,33.5829,مشغرة,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,أقل من 5 دونم (< 5000 متر مربع),تربة رملية 
35.8203,33.5829,مشغرة,أقل من 5 دونم (< 5000 متر مربع),تربة رملية 
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
36.0131,33.7889,تربل,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية)
35.9878,33.8442,رياق,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية)
35.8203,33.5829,مشغرة,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية)
