X,Y,القرية,الزراعة التجديدية,تقنيات الزراعة التجديدية,محسنات التربة,الاعتماد على الاسمدة الكيميائية,مكافحة الآفات
36.0394,33.7528,ماسما,,, روث حيواني,لا يتم استخدامها,مكافحة كيميائية (مبيدات) مكافحة بيولوجية (أعداء طبيعيون، مبيدات حيوية) مبيدات محلية الصنع
36.0131,33.7889,تربل,,,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
36.0556,33.7142,دلهامية,,,أسمدة كيميائية   روث حيواني,اعتماد كامل,مكافحة كيميائية (مبيدات)
35.9833,33.6875,الفاكهة,,,كمبوست عضوي مخصبات حيوية,اعتماد جزئي,مكافحة كيميائية (مبيدات) مكافحة فيزيائية (مصائد، أبواب مزدوجة...)
35.9878,33.8442,رياق,,,أسمدة كيميائية  كمبوست عضوي,اعتماد كامل,مكافحة كيميائية (مبيدات)
35.925,33.775,علي النهري,,,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.9344,33.8147,حارة الفيكاني,,,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.9878,33.8442,رياق,,,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة بيولوجية (أعداء طبيعيون، مبيدات حيوية)
36.0481,33.8847,نبي شيت,,,أسمدة كيميائية  كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.9878,33.8442,رياق,,,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية (مبيدات) مكافحة فيزيائية (مصائد، أبواب مزدوجة...)
35.8203,33.5829,مشغرة,,, روث حيواني,لا يتم استخدامها,مكافحة كيميائية (مبيدات) مبيدات محلية الصنع
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.9542,33.8253,اللبوة,,,أسمدة كيميائية  كمبوست عضوي مخصبات حيوية  روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات) مكافحة بيولوجية (أعداء طبيعيون، مبيدات حيوية)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية ,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية ,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.9018,33.8463,زحلة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد كامل,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي مخصبات حيوية,اعتماد كامل,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية ,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية ,اعتماد جزئي,مكافحة بيولوجية (أعداء طبيعيون، مبيدات حيوية)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية  كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
36.0131,33.7889,تربل,,,أسمدة كيميائية ,اعتماد كامل,مكافحة كيميائية (مبيدات)
35.9878,33.8442,رياق,,,أسمدة كيميائية  كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
35.8203,33.5829,مشغرة,,,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية (مبيدات)
