X,Y,القرية,المحصول,مصدر مياه الريّ الرئيسي,توفر المياه
36.0394,33.7528,ماسما,بندورة فلفل,فقط مياه الأمطار,أحياناً كافية
36.0131,33.7889,تربل,خس ، بصل,فقط مياه الأمطار بئر جوفي,أحياناً كافية
36.0556,33.7142,دلهامية,بندورة، خيار,بئر جوفي,أحياناً كافية
35.9833,33.6875,الفاكهة,خيار، بطيخ,بئر جوفي,غير كافية تماماً
35.9878,33.8442,رياق,بندورة- خيار,بئر جوفي,أحياناً كافية
35.925,33.775,علي النهري,بازيلا، خيار,فقط مياه الأمطار بئر جوفي,أحياناً كافية
35.9344,33.8147,حارة الفيكاني,لوبيا- كوسا,فقط مياه الأمطار بئر جوفي,أحياناً كافية
35.9878,33.8442,رياق,لوبيا,فقط مياه الأمطار بئر جوفي,أحياناً كافية
36.0481,33.8847,نبي شيت,كوسا,فقط مياه الأمطار بئر جوفي,أحياناً كافية
35.9878,33.8442,رياق,بندورة، كوسا,فقط مياه الأمطار بئر جوفي,أحياناً كافية
35.8203,33.5829,مشغرة,,قنوات ري,دائماً كافية
35.8203,33.5829,مشغرة,اشجار مثمرة- قمح,قنوات ري,نادراً ما تكون كافية
35.8203,33.5829,مشغرة,تفاح ، دراق,نهر/مجرى مائي بئر جوفي,غير كافية تماماً
35.8203,33.5829,مشغرة,زيتون,نهر/مجرى مائي,دائماً كافية
35.9542,33.8253,اللبوة,تفاح، مشمش,نهر/مجرى مائي,دائماً كافية
35.8203,33.5829,مشغرة,تفاح   دراق,قنوات ري,دائماً كافية
35.8203,33.5829,مشغرة,اجاص، زيتون,قنوات ري,دائماً كافية
35.8203,33.5829,مشغرة,تفاح,قنوات ري,دائماً كافية
35.9018,33.8463,زحلة,بندورة، خس,بئر جوفي,أحياناً كافية
35.8203,33.5829,مشغرة,تفاح، دراق,قنوات ري,نادراً ما تكون كافية
35.8203,33.5829,مشغرة,تفاح، دراق,نهر/مجرى مائي,نادراً ما تكون كافية
35.8203,33.5829,مشغرة,تفاح,قنوات ري,أحياناً كافية
35.8203,33.5829,مشغرة,تفاح، كرز,نقل المياه بالصهاريج,نادراً ما تكون كافية
35.8203,33.5829,مشغرة,تفاح، زيتون,نهر/مجرى مائي,دائماً كافية
35.8203,33.5829,مشغرة,تقاح، زيتون,نهر/مجرى مائي,أحياناً كافية
35.8203,33.5829,مشغرة,خضار، تفاح,نهر/مجرى مائي قنوات ري,أحياناً كافية
36.0131,33.7889,تربل,خضار,قنوات ري,أحياناً كافية
35.9878,33.8442,رياق,بازيلا، كوسا,بئر جوفي قنوات ري,أحياناً كافية
35.8203,33.5829,مشغرة,تفاح,نهر/مجرى مائي,دائماً كافية
